fold,prune_method,min_val,max_val,prune_bias,performance_Dice,performance_FN,performance_FP,performance_IoU,performance_TN,performance_TP,performance_n_pred,performance_n_ref,weights_zeros,weights_total,weights_percentage,biases_zeros,biases_total,biases_percentage,total_zeros,total_total,total_percentage
2,RangePruning,-2e-3,2e-3,False,0.927642636336131,481.9133333333334,360.5133333333333,0.8678214208974779,527998.6766666666,6177.776666666668,6538.290000000001,6659.69,9330787,20610080,45.27,4,10996,0.04,9330791,20621076,45.25
2,RangePruning,-6e-3,6e-3,False,0.8871793551193417,801.5566666666665,517.3533333333334,0.8047833277029349,527841.8366666666,5858.133333333334,6375.486666666667,6659.69,17934903,20610080,87.02,4,10996,0.04,17934907,20621076,86.97
2,RangePruning,-7e-3,7e-3,True,0.7894532813046536,1678.7366666666667,611.36,0.681938948379592,527747.83,4980.953333333334,5592.313333333333,6659.69,18756137,20610080,91.0,6463,10996,58.78,18762600,20621076,90.99
2,RangePruning,-9e-3,9e-3,False,0.10985717673549668,6104.613333333334,1658.8633333333335,0.060681411506188436,526700.3266666667,555.0766666666667,2213.94,6659.69,19731041,20610080,95.73,4,10996,0.04,19731045,20621076,95.68
2,RangePruning,-1e-2,1e-2,True,0.02013248769896007,6580.863333333334,1041.3866666666668,0.010275803693460782,527317.8033333333,78.82666666666667,1120.2133333333334,6659.69,20005011,20610080,97.06,6638,10996,60.37,20011649,20621076,97.04
2,RangePruning,-1e-3,1e-3,False,0.9271661034722225,471.32333333333327,376.59666666666664,0.8670305149422962,527982.5933333334,6188.366666666666,6564.963333333333,6659.69,4998256,20610080,24.25,4,10996,0.04,4998260,20621076,24.24
2,RangePruning,-8e-3,8e-3,True,0.4169384061035221,3828.8933333333334,1725.2666666666667,0.29104084767689703,526633.9233333333,2830.7966666666666,4556.0633333333335,6659.69,19331206,20610080,93.79,6521,10996,59.3,19337727,20621076,93.78
2,RangePruning,-5e-3,5e-3,False,0.9131898489397816,598.4233333333333,401.94,0.8444690257381575,527957.25,6061.266666666666,6463.206666666666,6659.69,16762141,20610080,81.33,4,10996,0.04,16762145,20621076,81.29
2,RangePruning,-3e-3,3e-3,True,0.9270075535468472,493.7366666666667,359.3966666666667,0.8668466630845306,527999.7933333333,6165.953333333334,6525.350000000001,6659.69,12681113,20610080,61.53,5919,10996,53.83,12687032,20621076,61.52
2,RangePruning,-6e-3,6e-3,True,0.8870449698377708,800.5266666666666,521.6,0.8046031182700913,527837.59,5859.163333333333,6380.763333333333,6659.69,17934903,20610080,87.02,6390,10996,58.11,17941293,20621076,87.0
2,RangePruning,-5e-3,5e-3,True,0.9131366180537083,597.9733333333332,403.9166666666667,0.8443719787982965,527955.2733333333,6061.716666666667,6465.633333333334,6659.69,16762141,20610080,81.33,6292,10996,57.22,16768433,20621076,81.32
2,RangePruning,0e+,0e+,False,0.9268601938365215,471.0233333333333,379.33,0.8665321403609534,527979.86,6188.666666666667,6567.996666666667,6659.69,0,20610080,0.0,4,10996,0.04,4,20621076,0.0
2,RangePruning,-7e-3,7e-3,False,0.7895167367147269,1684.1166666666666,601.8299999999999,0.6821263386518588,527757.36,4975.573333333334,5577.403333333333,6659.69,18756137,20610080,91.0,4,10996,0.04,18756141,20621076,90.96
2,RangePruning,-3e-3,3e-3,False,0.9270312591260957,493.75666666666666,359.05,0.866883211349801,528000.14,6165.933333333334,6524.983333333334,6659.69,12681113,20610080,61.53,4,10996,0.04,12681117,20621076,61.5
2,RangePruning,0e+,0e+,True,0.9268575812686857,471.03,379.33,0.8665283486790151,527979.86,6188.66,6567.990000000001,6659.69,0,20610080,0.0,4,10996,0.04,4,20621076,0.0
0,RangePruning,-8e-3,8e-3,False,0.37078759475400824,5151.26,360.81666666666666,0.23817708706684956,527998.3733333334,1508.43,1869.2466666666667,6659.69,19344914,20610080,93.86,4,10996,0.04,19344918,20621076,93.81
0,RangePruning,-2e-3,2e-3,True,0.9248761912138663,454.9433333333334,420.6166666666666,0.863506991658788,527938.5733333334,6204.746666666667,6625.363333333334,6659.69,9348243,20610080,45.36,5657,10996,51.45,9353900,20621076,45.36
0,RangePruning,-4e-3,4e-3,True,0.9238712097009908,483.2633333333333,392.3566666666666,0.8619561509083425,527966.8333333334,6176.426666666666,6568.783333333333,6659.69,15108526,20610080,73.31,6086,10996,55.35,15114612,20621076,73.3
0,RangePruning,-1e-3,1e-3,True,0.9243241164023845,457.1933333333333,421.10666666666674,0.8625782449093012,527938.0833333334,6202.496666666667,6623.603333333333,6659.69,5008692,20610080,24.3,5338,10996,48.54,5014030,20621076,24.32
0,RangePruning,-4e-3,4e-3,False,0.923870088540918,482.89000000000004,392.72333333333336,0.8619611047246604,527966.4666666667,6176.799999999999,6569.5233333333335,6659.69,15108526,20610080,73.31,4,10996,0.04,15108530,20621076,73.27
0,RangePruning,-1e-2,1e-2,False,0.17717150167887197,5774.763333333333,447.48,0.12643081727224512,527911.71,884.9266666666666,1332.4066666666665,6659.69,20012750,20610080,97.1,4,10996,0.04,20012754,20621076,97.05
0,RangePruning,-9e-3,9e-3,True,0.1558138924533979,5994.886666666666,164.28,0.10369386973825472,528194.91,664.8033333333334,829.0833333333334,6659.69,19741517,20610080,95.79,6572,10996,59.77,19748089,20621076,95.77
0,RangePruning,-2e-3,2e-3,False,0.9248528688451261,455.64000000000004,419.95666666666665,0.8634747252822693,527939.2333333333,6204.05,6624.006666666667,6659.69,9348243,20610080,45.36,4,10996,0.04,9348247,20621076,45.33
0,RangePruning,-6e-3,6e-3,False,0.8550645136452141,1190.3566666666668,482.1233333333333,0.759893056175481,527877.0666666665,5469.333333333333,5951.456666666666,6659.69,17952082,20610080,87.1,4,10996,0.04,17952086,20621076,87.06
0,RangePruning,-7e-3,7e-3,True,0.6914059662566285,2547.1433333333334,542.6266666666667,0.5678898690604769,527816.5633333334,4112.546666666666,4655.173333333333,6659.69,18771509,20610080,91.08,6427,10996,58.45,18777936,20621076,91.06
